的	〔白勹丶 · unid〕
𩼛	〔魚十日干 · wnoe〕
𩼜	〔魚木冂貝 · wemo〕
𩼝	〔魚甘 · wszg〕
𩼞	〔魚里虫 · wdcc〕
𩼟	〔魚罒勹虫 · wync〕
𩼠	〔⺈用刀魚 · xtpw〕
𩼡	〔屮凵方魚 · smlw〕
𩼢	〔尸口辛魚 · cdnw〕
𩼣	〔魚冎口辶 · wfdu〕
𩼤	〔魚亠囗禾 · wzrx〕
𩼥	〔⺿大魚 · lmgw〕
𩼦	〔魚耳又人 · wqrj〕
𩼧	〔魚宀一貝 · wwfo〕
𩼨	〔魚匕矢疋 · wvot〕
𩼩	〔魚火火㐄 · wccv〕
𩼪	〔氵魚魚 · kwwv〕
𩼫	〔⺷魚龷日 · gwlo〕
𩼬	〔魚⺿甫寸 · wlnk〕
𩼭	〔而大瓦魚 · lmrw〕
𩼮	〔龷八魚⺝ · lhwv〕
𩼯	〔魚囗十寸 · wrnk〕
𩼰	〔魚艹幺心 · wlih〕
𩼱	〔魚束貝 · wxob〕
𩼲	〔魚工貝心 · wuoh〕
𩼳	〔魚臣𠂉皿 · wqea〕
𩼴	〔厂日⺼魚 · xovw〕
𩼵	〔魚宀口夊 · wwdh〕
𩼶	〔魚宀羽彡 · wwze〕
𩼷	〔魚业⺷寸 · wcgk〕
𩼸	〔业⺷寸魚 · cgkw〕
𩼹	〔一ㄅ魚 · pfaw〕
𩼺	〔魚艹人口 · wljd〕
𩼻	〔艹魚虍且 · lwzf〕
𩼼	〔魚广里土 · wxdg〕
𩼽	〔魚禾氺 · wxpk〕
𩼾	〔魚幺火 · wpic〕
𩼿	〔魚亻人⺝ · wjjv〕
𩽀	〔魚言隹 · wsui〕
𩽁	〔魚鹿灬 · wxch〕
𩽂	〔魚米夕阝 · wplt〕
𩽃	〔魚⺿米 · wlhp〕
𩽄	〔魚斤斤貝 · wtto〕
𩽅	〔魚十戈一 · wnpf〕
𩽆	〔魚士罒貝 · wgyo〕
𩽇	〔魚心夂 · wwhh〕
𩽈	〔魚魚日 · wwor〕
𩽉	〔魚疒臼又 · wapr〕
𩽊	〔魚石石石 · wmmm〕
𩽋	〔魚攵 · wkoh〕
𩽌	〔魚山隹 · wvum〕
𩽍	〔魚歺又一 · wgrf〕
𩽎	〔魚貝辶 · wcou〕
𩽏	〔魚厂禾止 · wxxs〕
𩽐	〔魚歺又食 · wgrq〕
𩽑	〔木米冫魚 · epww〕
𩽒	〔魚廿口灬 · wldc wlac〕
𩽓	〔束刀貝魚 · xpow〕
𩽔	〔魚耒辰寸 · wafk〕
𩽕	〔魚⺮隹又 · wrur〕
𩽖	〔魚⺮馬 · wrnm〕
𩽗	〔魚王予口 · wnid〕
𩽘	〔⺮大魚 · rmgw〕
𩽙	〔魚旡一 · widf〕
𩽚	〔魚彳山攵 · wwvh〕
𩽛	〔魚⺿氵寸 · wlkk〕
𩽜	〔魚宀足 · wwqp〕
𩽝	〔魚兔 · wwvw〕
𩽞	〔魚罒𢎨 · wykt〕
𩽟	〔巾巾魚一 · rrwf〕
𩽠	〔魚十戈鳥 · wnpx〕
𩽡	〔魚卝句手 · wlgu〕
𩽢	〔魚貝貝女 · woob〕
𩽣	〔魚⺮罒丶 · wryi〕
𩽤	〔魚酉鬼 · wyag〕
𩽥	〔魚門束丷 · waxh〕
𩽦	〔鱼厂黑土 · wxpg〕
𩽧	〔魚隹隹又 · wuur〕
𩽨	〔魚山隹口 · wvud〕
𩽩	〔魚目目隹 · wqqu〕
𩽪	〔魚耳耳耳 · wqqq〕
𩽫	〔⺶工魚日 · guwo〕
𩽬	〔魚冂火 · wpmc〕
𩽭	〔魚⺿臣皿 · wlqa〕
𩽮	〔魚⺿臣 · wlnq〕
𩽯	〔魚丿火 · wptc〕
𩽰	〔魚罒糹隹 · wyiu〕
𩽱	〔魚亠囗虫 · wzrc〕
𩽲	〔魚自穴辶 · woeu〕
𩽳	〔魚黑 · wsph〕
𩽴	〔魚口口攵 · wddh〕
𩽵	〔魚彑虫 · wbjc〕
𩽶	〔魚⺊囗亅 · wyrg〕
𩽷	〔魚革月 · wttv〕
𩽸	〔魚飠土儿 · wqgp〕
𩽹	〔鱼及 · wcj〕
𩽺	〔鱼夫 · whf〕
𩽻	〔鱼八乂 · whbi〕
𩽼	〔鱼冖车 · wwyc〕
𩽽	〔鱼宀丿七 · wwtr〕
𩽿	〔鱼夕夕 · wllx〕
𩾀	〔鱼古 · wcg〕
𩾁	〔鱼一氺丶 · wfki〕
𩾂	〔鱼寸 · wakc〕
𩾄	〔鱼⺄十辶 · wanu〕
𩾅	〔鱼兔 · wwt〕
𩾆	〔鱼氵尸匕 · wkcv〕
𩾇	〔鱼虎 · wzh〕
𩾈	〔鱼⺊一又 · wyfr〕
𩾉	〔鱼大人人 · wmjj〕
𩾊	〔鱼疋⺝ · wtvy〕
𩾋	〔鱼千里 · wldl〕
𩾍	〔鱼歺又米 · wgrp〕
𩾎	〔鱼心夂 · wwhh〕
𩾏	〔一鳥 · fxn〕
𩾐	〔鳥乚 · xae〕
𩾑	〔丿鳥 · txn〕
𩾒	〔鳥了 · xrl〕
𩾓	〔鳥卩 · xzj〕
𩾔	〔七鳥 · rxn〕
𩾕	〔鳥 · vxn〕
𩾖	〔鳥乃 · xvn〕
𩾗	〔㇆㇀鳥 · afxn〕
𩾘	〔㐅鳥 · bxn〕
𩾙	〔鳥七 · xrq〕
𩾚	〔丁鳥 · axn〕
𩾛	〔九鳥 · kxn〕
𩾜	〔鳥力 · xsl〕
𩾝	〔鳥干 · xeg〕
𩾞	〔九丶鳥 · kixn〕
𩾟	〔小鳥 · yxn〕
𩾠	〔己鳥 · vxn〕
𩾡	〔鳥勹丶 · xnid〕
𩾢	〔弋鳥 · pxn〕
𩾣	〔巛鳥 · oxn〕
𩾤	〔⺊乙鳥 · yaxn〕
𩾥	〔𠂉乙鳥 · eaxn〕
𩾦	〔广鳥 · xxn〕
𩾧	〔鳥川 · xoc〕
𩾨	〔几丶鳥 · oixn〕
𩾩	〔鳥己 · xvj〕
𩾪	〔大鳥 · mxn〕
𩾫	〔鳥弓 · xbg〕
𩾬	〔鳥工 · xug〕
𩾭	〔千鳥 · lxn〕
𩾮	〔丿厶鳥 · tkxn〕
𩾯	〔氵鳥 · kxn〕
𩾰	〔止鳥 · sxn〕
𩾱	〔鳥卩 · xbzj〕
𩾲	〔勹鳥 · nexn〕
𩾳	〔鳥一丨㇆ · xfga〕
𩾴	〔鳥人 · xjpd〕
𩾵	〔尤鳥 · oxn〕
𩾶	〔鳥及 · xcj〕
𩾷	〔戈鳥 · pxn〕
𩾸	〔厂人鳥 · xjxn〕
𩾹	〔亻鳥 · jvxn〕
𩾺	〔井鳥 · qxn〕
𩾻	〔气鳥 · vxn〕
𩾼	〔水鳥 · kxn〕
𩾽	〔鳥心 · xhx〕
𩾾	〔乂乂鳥 · bbxn〕
𩾿	〔八乂鳥 · hbxn〕
𩿀	〔口丨鳥 · dgxn〕
𩿁	〔鳥犬 · xmq〕
𩿂	〔毛鳥 · vxn〕
𩿃	〔勹冫鳥 · nwxn〕
𩿄	〔爿鳥 · axn〕
𩿅	〔𠂇厶鳥 · nkxn〕
𩿆	〔土乙鳥 · gaxn〕
𩿇	〔戶鳥 · mxn〕
𩿈	〔八刀鳥 · hpxn〕
𩿉	〔鳥八刀 · xhpd〕
𩿊	〔月鳥 · vxn〕
𩿋	〔鳥刀刀 · xppd〕
𩿌	〔亼㇗鳥 · jaxn〕
𩿍	〔一彑鳥 · fbxn〕
𩿎	〔予鳥 · ixn〕
𩿏	〔又又鳥 · rrxn〕
𩿐	〔鳥一巾 · xfrj〕
𩿑	〔旡鳥 · dxn〕
𩿒	〔一幺鳥 · fixn〕
𩿓	〔鳥牛 · xqn〕
𩿔	〔⺁又鳥 · xrxn〕
𩿕	〔人人鳥 · jjxn〕
𩿖	〔鳥勹二 · xnme〕
𩿗	〔予鳥 · ixn〕
𩿘	〔鳥毛 · xvm〕
𩿙	〔鳥戈 · xpg〕
𩿚	〔鳥斗 · xjd〕
𩿛	〔犬鳥 · mxn〕
𩿜	〔十艹鳥 · nlxn〕
𩿝	〔匚コ鳥 · nnxn〕
𩿞	〔乍鳥 · wxn〕
𩿟	〔土厶鳥 · gkxn〕
𩿠	〔鳥戉 · xnu〕
𩿡	〔鳥厶口 · xkdk〕
𩿢	〔丶王鳥 · inxn〕
𩿣	〔一木鳥 · fexn〕
𩿤	〔木乚鳥 · eaxn〕
𩿥	〔小鳥 · xyxn〕
𩿦	〔口八鳥 · dhxn〕
𩿧	〔亻寸鳥 · jkxn〕
𩿨	〔一鳥 · tfxn〕
𩿩	〔屮凵鳥 · smxn〕
𩿪	〔斤丶鳥 · tixn〕
𩿫	〔厂干鳥 · xexn〕
𩿬	〔由鳥 · dxn〕
𩿭	〔山一ㄅ鳥 · vfax〕
𩿮	〔コ鳥 · nbxn〕
𩿯	〔木丶鳥 · eixn〕
𩿰	〔戉鳥 · nxn〕
𩿱	〔王丶鳥 · nixn〕
𩿲	〔未鳥 · axn〕
𩿳	〔一止鳥 · fsxn〕
𩿴	〔鳥弓冫 · xbwb〕
𩿵	〔鳥古 · xcg〕
𩿶	〔大鳥 · mmxn〕
𩿷	〔示鳥 · fxn〕
𩿸	〔工一ㄅ鳥 · ufax〕
𩿹	〔土厶鳥 · gkxn〕
𩿺	〔瓦鳥 · rxn〕
𩿻	〔匕鳥 · avxn〕
𩿼	〔鳥甲 · xsj〕
𩿽	〔𠂉也鳥 · eexn〕
𩿾	〔用鳥 · txn〕
𩿿	〔⺈彐鳥 · xbxn〕
𪀀	〔勹巳鳥 · nvxn〕
𪀁	〔鳥力口 · xsdk〕
𪀂	〔鳥幺力 · xisl〕
𪀃	〔鳥工卩 · xuzj〕
𪀄	〔⺊口鳥 · ydxn〕
𪀅	〔瓜鳥 · yxn〕
𪀆	〔亻士鳥 · jgxn〕
𪀇	〔鳥不一 · xcfi〕
𪀈	〔夕⺋鳥 · lzxn〕
𪀉	〔可鳥 · zxn〕
𪀊	〔鳥句 · xgj〕
𪀋	〔甲 · xsj〕
𪀌	〔鳥甲 · xsj〕
𪀍	〔鳥氏一 · xbfi〕
𪀎	〔口鳥 · dbxn〕
𪀏	〔鳥匚コ · xnnk〕
𪀐	〔鳥丿之 · xtri〕
𪀑	〔疋鳥 · txn〕
𪀒	〔鳥至 · xyi〕
𪀓	〔鳥夕夕 · xllx〕
𪀔	〔鳥土寸 · xgkc〕
𪀕	〔曰㇂丿鳥 · oatx〕
𪀖	〔⺊一小鳥 · yfyx〕
𪀗	〔⺈厂⺋鳥 · xxzx〕
𪀘	〔匚斤鳥 · ntxn〕
𪀙	〔曰人鳥 · ojxn〕
𪀚	〔鳥戈𠂇 · xpns〕
𪀛	〔工几丶鳥 · uoix〕
𪀜	〔木冂鳥 · emxn〕
𪀝	〔䒑鳥 · hsxn〕
𪀞	〔亡鳥 · foxn〕
𪀟	〔囗口鳥 · rdxn〕
𪀠	〔鳥勹日 · xnor〕
𪀡	〔丰刀鳥 · apxn〕
𪀢	〔亻犬鳥 · jmxn〕
𪀣	〔㐅木鳥 · bexn〕
𪀤	〔鳥氵工 · xkug〕
𪀥	〔宀丿七鳥 · wtrx〕
𪀦	〔弋工鳥 · puxn〕
𪀧	〔老鳥 · qxn〕
𪀨	〔幺幺鳥 · iixn〕
𪀩	〔夕夕鳥 · llxn〕
𪀪	〔亻木鳥 · jexn〕
𪀫	〔彐彐鳥 · bbxn〕
𪀬	〔𠂇火鳥 · ncxn〕
𪀭	〔冂一口鳥 · mfdx〕
𪀮	〔女子鳥 · bhxn〕
𪀯	〔光鳥 · mxn〕
𪀰	〔衣鳥 · txn〕
𪀱	〔宀大鳥 · wmxn〕
𪀲	〔丷夫鳥 · hhxn〕
𪀳	〔鳥米 · xpm〕
𪀴	〔鳥聿 · xbv〕
𪀵	〔戈𠂇鳥 · pnxn〕
𪀶	〔七木鳥 · rexn〕
𪀷	〔⺧儿鳥 · qpxn〕
𪀸	〔鳥弋工 · xpug〕
𪀹	〔西鳥 · vxn〕
𪀺	〔鳥⺊一女 · xyfb〕
𪀻	〔牜匕鳥 · qvxn〕
𪀼	〔亻王鳥 · jnxn〕
𪀽	〔勹日鳥 · noxn〕
𪀾	〔夕㐄鳥 · lvxn〕
𪀿	〔米鳥 · pxn〕
𪁀	〔聿鳥 · bxn〕
𪁁	〔又木鳥 · rexn〕
𪁂	〔亠鳥 · zcxn〕
𪁃	〔亻牛鳥 · jqxn〕
𪁄	〔鳥士口 · xgdk〕
𪁅	〔⺈巴鳥 · xmxn〕
𪁆	〔鳥⺁一口 · xxfd〕
𪁇	〔儿鳥 · bpxn〕
𪁈	〔广土鳥 · xgxn〕
𪁉	〔鳥六乂 · xabi〕
𪁊	〔扌斤鳥 · utxn〕
𪁋	〔戊㇆鳥 · naxn〕
𪁌	〔土鳥 · gcxn〕
𪁍	〔土厶力鳥 · gksx〕
𪁎	〔⺌⺼鳥 · yvxn〕
𪁏	〔山亼乛鳥 · vjax〕
𪁐	〔禾刂鳥 · xpxn〕
𪁑	〔八口儿鳥 · hdpx〕
𪁒	〔鳥尤彡 · xoes〕
𪁓	〔士心鳥 · ghxn〕
𪁔	〔宀牛鳥 · wqxn〕
𪁕	〔氵丿大鳥 · ktmx〕
𪁖	〔一氺丶鳥 · fkix〕
𪁗	〔鳥口巴 · xdmb〕
𪁘	〔氵王鳥 · knxn〕
𪁙	〔五口鳥 · wdxn〕
𪁚	〔鳥 · gxn〕
𪁛	〔彳殳鳥 · wrxn〕
𪁜	〔丶艮鳥 · iixn〕
𪁝	〔氏口鳥 · bdxn〕
𪁞	〔豆鳥 · zxn〕
𪁟	〔亼乛口鳥 · jadx〕
𪁠	〔氵人鳥 · knjx〕
𪁡	〔㐅𠂇子鳥 · bnhx〕
𪁢	〔阝方鳥 · tlxn〕
𪁣	〔口木鳥 · dexn〕
𪁤	〔白儿鳥 · upxn〕
𪁥	〔豕鳥 · jxn〕
𪁦	〔鳥⺁二巾 · xxmr〕
𪁧	〔辰鳥 · fxn〕
𪁨	〔鳥口巴 · xdmb〕
𪁩	〔鳥丷𢎨 · xhtf〕
𪁪	〔尤彡鳥 · oexn〕
𪁫	〔鳥戈廾 · xplc〕
𪁬	〔匕矢鳥 · voxn〕
𪁭	〔鳥甫 · xnf〕
𪁮	〔禾乃鳥 · xvxn〕
𪁯	〔鳥⺁⺊卜 · xxyy〕
𪁰	〔豸鳥 · mxn〕
𪁱	〔广木鳥 · xexn〕
𪁲	〔衤刀鳥 · tpxn〕
𪁳	〔口丿口鳥 · dtdx〕
𪁴	〔鳥谷 · xhg〕
𪁵	〔尸㇆口鳥 · cadx〕
𪁶	〔寸辶鳥 · kuxn〕
𪁷	〔鳥心丿山 · xhtv〕
𪁸	〔鳥⺷儿 · xgpe〕
𪁹	〔鳥 · xrf〕
𪁺	〔尚鳥 · sxn〕
𪁻	〔木斤鳥 · etxn〕
𪁼	〔白巾鳥 · urxn〕
𪁽	〔亠人人鳥 · zjjx〕
𪁾	〔⺿丿大鳥 · ltmx〕
𪁿	〔木厶鳥 · ehkx〕
𪂀	〔鳥八乂斤 · xhbt〕
𪂁	〔宀心丿鳥 · whtx〕
𪂂	〔十日十鳥 · nonx〕
𪂃	〔鳥白丿十 · xutn〕
𪂄	〔亻夕夕鳥 · jllx〕
𪂅	〔木支鳥 · ecxn〕
𪂆	〔氏日鳥 · boxn〕
𪂇	〔日曰鳥 · ooxn〕
𪂈	〔火火鳥 · ccxn〕
𪂉	〔戈口㇀鳥 · pdfx〕
𪂊	〔鳥阝宀匕 · xtwv〕
𪂋	〔鳥冖巾 · xbwr〕
𪂌	〔水日鳥 · koxn〕
𪂍	〔一廾一鳥 · flfx〕
𪂎	〔鳥子 · xghi〕
𪂏	〔鳥 · rxn〕
𪂐	〔一人人鳥 · fjjx〕
𪂑	〔广氏丶鳥 · xbix〕
𪂒	〔勹心鳥 · nehx〕
𪂓	〔山且鳥 · vfxn〕
𪂔	〔氵且鳥 · kfxn〕
𪂕	〔鳥 · txn〕
𪂖	〔月卩又鳥 · vzrx〕
𪂗	〔尸衣鳥 · ctxn〕
𪂘	〔人小口鳥 · jydx〕
𪂙	〔鳥月月 · xvvy〕
𪂚	〔鳥土八土 · xghg〕
𪂛	〔艹氏鳥 · lbxn〕
𪂜	〔木攵鳥 · ehxn〕
𪂝	〔鳥木日 · xeor〕
𪂞	〔鳥 · rxn〕
𪂟	〔㡀鳥 · fxn〕
𪂠	〔田木鳥 · qexn〕
𪂡	〔日月鳥 · ovxn〕
𪂢	〔山厂干鳥 · vxex〕
𪂣	〔隹鳥 · uxn〕
𪂤	〔亼口卩鳥 · jdzx〕
𪂥	〔八乂斤鳥 · hbtx〕
𪂦	〔宀夕⺋鳥 · wlzx〕
𪂧	〔宀夕⺋ · xwlz〕
𪂨	〔心丿山鳥 · htvx〕
𪂩	〔氺鳥 · bkxn〕
𪂪	〔冖巾鳥 · bwrx〕
𪂫	〔旡旡鳥 · ddxn〕
𪂬	〔虎鳥 · zxn〕
𪂭	〔鳥宀夕⺋ · xwlz〕
𪂮	〔子瓜鳥 · hyxn〕
𪂯	〔鳥女古 · xbcg〕
𪂰	〔鳥广氏丶 · xxbi〕
𪂱	〔鳥⺊日十 · xyon〕
𪂲	〔子瓜鳥 · hyxn〕
𪂳	〔鳥日匕 · xovv〕
𪂴	〔鳥龶⺝ · xavy〕
𪂵	〔戈口㇀鳥 · pdfx〕
𪂶	〔戊一口鳥 · nfdx〕
𪂷	〔鳥⺈厂矢 · xxxo〕
𪂸	〔穴人又鳥 · ejrx〕
𪂹	〔丶日鳥 · aiox〕
𪂺	〔⺈心鳥 · xbhx〕
𪂻	〔亼口廾鳥 · jdlx〕
𪂼	〔木目鳥 · eqxn〕
𪂽	〔八刀皿鳥 · hpax〕
𪂾	〔鳥 · qxn〕
𪂿	〔鳥日 · xots〕
𪃀	〔鳥冎口 · xfdk〕
𪃁	〔亻口木鳥 · jdex〕
𪃂	〔氵鳥 · kbox〕
𪃃	〔𠂉日夊鳥 · eohx〕
𪃄	〔田心鳥 · qhxn〕
𪃅	〔⺌⺝刂鳥 · yvpx〕
𪃆	〔鳥㇏大 · xaim〕
𪃇	〔士口ㄥ鳥 · gdax〕
𪃈	〔丰刀大鳥 · apmx〕
𪃉	〔而大鳥 · lmxn〕
𪃊	〔㐅凵八鳥 · bmhx〕
𪃋	〔西土鳥 · vgxn〕
𪃌	〔日一勹鳥 · ofnx〕
𪃍	〔田⽱鳥 · qvxn〕
𪃎	〔亼月刂鳥 · jvpx〕
𪃏	〔甘木鳥 · zexn〕
𪃐	〔鳥目𡭔丿 · xqyt〕
𪃑	〔⺜目鳥 · oqxn〕
𪃒	〔广廿又鳥 · xlrx〕
𪃓	〔⺈貝鳥 · xoxn〕
𪃔	〔⺿民鳥 · ldxn〕
𪃕	〔氵各鳥 · ksxn〕
𪃖	〔⺿氏一鳥 · lbfx〕
𪃗	〔鳥宀一一 · xwff〕
𪃘	〔十戈口鳥 · npdx〕
𪃙	〔耂日鳥 · qoxn〕
𪃚	〔止示鳥 · sfxn〕
𪃛	〔文厂彡鳥 · vxex〕
𪃜	〔宀工口鳥 · wudx〕
𪃝	〔彳土寸鳥 · wgkx〕
𪃞	〔鳥艹田 · xlqt〕
𪃟	〔士冖鳥殳 · gwxr〕
𪃠	〔束力鳥 · xsxn〕
𪃡	〔氵龷八鳥 · klhx〕
𪃢	〔十冂鳥 · nmgx〕
𪃣	〔㇏日鳥 · aiox〕
𪃤	〔土土㇗鳥 · ggax〕
𪃥	〔木目鳥 · eqxn〕
𪃦	〔目𡭔丿鳥 · qytx〕
𪃧	〔目𡭔丿鳥 · qytx〕
𪃨	〔山幺幺鳥 · viix〕
𪃩	〔禾火鳥 · xcxn〕
𪃪	〔人鳥 · pjxn〕
𪃫	〔⺁一口鳥 · xfdx〕
𪃬	〔丷酉鳥 · hyxn〕
𪃭	〔宀各鳥 · wsxn〕
𪃮	〔尸至鳥 · cyxn〕
𪃯	〔民日鳥 · doxn〕
𪃰	〔厶貝鳥 · koxn〕
𪃱	〔厂日子鳥 · xohx〕
𪃲	〔鳥耂日 · xqor〕
𪃳	〔⺿大鳥 · lmmx〕
𪃴	〔鳥爫可 · xyzk〕
𪃵	〔鳥木日一 · xeof〕
𪃶	〔亻矢鳥 · jnox〕
𪃷	〔一小鳥 · qfyx〕
𪃸	〔廿㇗木鳥 · laex〕
𪃹	〔卩鳥 · izxn〕
𪃺	〔一冂鳥 · qfmx〕
𪃻	〔月⺁鳥 · vxtx〕
𪃼	〔自心鳥 · ohxn〕
𪃽	〔氵爫子鳥 · kyhx〕
𪃾	〔宀谷鳥 · whxn〕
𪃿	〔可鳥 · zzxn〕
𪄀	〔舟殳鳥 · irxn〕
𪄁	〔厂白小鳥 · xuyx〕
𪄂	〔一自夊鳥 · fohx〕
𪄃	〔干木鳥 · eeex〕
𪄄	〔冫⺆土鳥 · wmgx〕
𪄅	〔㐅木殳鳥 · berx〕
𪄆	〔丿囗乂鳥 · trbx〕
𪄇	〔八乂鳥 · hbzx〕
𪄈	〔鳥㇏禾 · xaix〕
𪄉	〔巛口巴鳥 · odmx〕
𪄊	〔目目鳥 · qqxn〕
𪄋	〔宀又丷鳥 · wrhx〕
𪄌	〔工貝鳥 · uoxn〕
𪄍	〔口口㐄鳥 · ddvx〕
𪄎	〔木各鳥 · esxn〕
𪄏	〔覀八刀鳥 · vhpx〕
𪄐	〔十廿木鳥 · nlex〕
𪄑	〔穴厶夊鳥 · ekhx〕
𪄒	〔镸彡鳥 · pexn〕
𪄓	〔鳥宀二女 · xwmb〕
𪄔	〔鳥鬼 · xag〕
𪄕	〔王王鳥 · npnx pnnx〕
𪄖	〔老日鳥 · qoxn〕
𪄗	〔士冖一鳥 · gwfx〕
𪄘	〔𠂇口冂鳥 · ndmx〕
𪄙	〔目目鳥 · qqxn〕
𪄚	〔⺜羽鳥 · ozxn〕
𪄛	〔鳥自心 · xohx〕
𪄜	〔丿㠯一鳥 · tkfx〕
𪄝	〔鳥烏 · xxu〕
𪄞	〔鳥勹 · xnss〕
𪄟	〔鳥方𠂉亠 · xlez〕
𪄠	〔氵束鳥 · kxxn〕
𪄡	〔尸龷鳥 · cltx〕
𪄢	〔⺈人鳥 · xmjx〕
𪄣	〔氵⺧口鳥 · kqdx〕
𪄤	〔大镸鳥 · mpxn〕
𪄥	〔鳥⾻ · xfg〕
𪄦	〔鳥艹人木 · xlje〕
𪄧	〔鳥䒑辶 · xhsu〕
𪄨	〔口⺌⺝鳥 · dyvx〕
𪄩	〔鳥隹十 · xuns〕
𪄪	〔木人人鳥 · ejjx〕
𪄫	〔氵人鳥 · kjxx〕
𪄬	〔礻矢鳥 · foxn〕
𪄭	〔木人氺鳥 · ejkx〕
𪄮	〔⻗二ㄅ鳥 · tmax〕
𪄯	〔夫見鳥 · hexn〕
𪄰	〔心丿虫鳥 · htcx〕
𪄱	〔冂古鳥 · imcx〕
𪄲	〔冂八鳥 · imhx〕
𪄳	〔木人人鳥 · ejjx〕
𪄴	〔𠂉母攵鳥 · ekhx〕
𪄵	〔旡鳥 · idxn〕
𪄶	〔羽白鳥 · zuxn〕
𪄷	〔覀大⺋鳥 · vmzx〕
𪄸	〔龶貝鳥 · aoxn〕
𪄹	〔巾鳥 · srxn〕
𪄺	〔鳥宀二攵 · xwmh〕
𪄻	〔鳥㇏臼 · xaip〕
𪄼	〔口隹鳥 · duxn〕
𪄽	〔士冖一鳥 · gwfx〕
𪄾	〔隹乛大鳥 · uamx〕
𪄿	〔廿口夫鳥 · ldhx〕
𪅀	〔廿口龶鳥 · ldax〕
𪅁	〔山宀示鳥 · vwfx〕
𪅂	〔音十鳥 · xnxn〕
𪅃	〔覀示鳥 · vfxn〕
𪅄	〔亠幺冫鳥 · ziwx〕
𪅅	〔田各鳥 · qsxn〕
𪅆	〔亠㐅凵鳥 · zbmx〕
𪅇	〔卝罒冖鳥 · lywx〕
𪅈	〔亻人人鳥 · jjjx〕
𪅉	〔臼日鳥 · poxn〕
𪅊	〔爫豕鳥 · yjxn〕
𪅋	〔阝土儿鳥 · tgpx〕
𪅌	〔禾刂木鳥 · xpex〕
𪅍	〔氵木人鳥 · kejx〕
𪅎	〔爫臼鳥 · ypxn〕
𪅏	〔士冖几鳥 · gwox〕
𪅐	〔⺿日大鳥 · lomx〕
𪅑	〔音儿鳥 · xpxn〕
𪅒	〔米瓦鳥 · prxn〕
𪅓	〔𡭔隹鳥 · yuxn〕
𪅔	〔几鳥白王 · oxun〕
𪅕	〔巛田木鳥 · oqex〕
𪅖	〔丶臼鳥 · aipx〕
𪅗	〔未攵厂鳥 · ahxx〕
𪅘	〔鳥十田寸 · xnqk〕
𪅙	〔束攵鳥 · xhxn〕
𪅚	〔目⺁鳥 · qxtx〕
𪅛	〔鳥女 · xkob〕
𪅜	〔鳥彳人龰 · xwjs〕
𪅝	〔鳥鳥 · xxn〕
𪅞	〔勹米大鳥 · npmx〕
𪅟	〔鳥广肀 · xxbt〕
𪅠	〔⺶ヿ土鳥 · gagx〕
𪅡	〔鳥羽人彡 · xzje〕
𪅢	〔宀而丁鳥 · wlax〕
𪅣	〔大人人鳥 · mjjx〕
𪅤	〔臣又土鳥 · qrgx〕
𪅥	〔隹夂鳥 · uhxn〕
𪅦	〔鳥囗戈㇀ · xrpf〕
𪅧	〔土隹鳥 · guxn〕
𪅨	〔禾夕夕鳥 · xllx〕
𪅩	〔矢口二鳥 · odmx〕
𪅪	〔子阝鳥 · ghtx〕
𪅫	〔土戈口鳥 · gpdx〕
𪅬	〔亻匸日鳥 · jnox〕
𪅭	〔亻丨夂鳥 · jghx〕
𪅮	〔宀心丿鳥 · whtx〕
𪅯	〔冫馬鳥 · wnxn〕
𪅰	〔人予鳥 · jaix〕
𪅱	〔尸丿口鳥 · ctdx〕
𪅲	〔亼口羽鳥 · jdzx〕
𪅳	〔田鳥 · bqxn〕
𪅴	〔一心鳥 · fchx〕
𪅵	〔虫二欠鳥 · cmex〕
𪅶	〔尚攵鳥 · shxn〕
𪅷	〔工貝㐅鳥 · uobx〕
𪅸	〔丰刀糸鳥 · apix〕
𪅹	〔鳥幺幺丶 · xiii〕
𪅺	〔口亻鳥 · djnx〕
𪅻	〔舟丷夫鳥 · ihhx〕
𪅼	〔厂禾禾鳥 · xxxx〕
𪅽	〔旡曰鳥 · ddox〕
𪅾	〔欠鳥 · zhex〕
𪅿	〔阝𠂇工鳥 · tnux〕
𪆀	〔弓米弓鳥 · bpbx pbbx〕
𪆁	〔斤鳥 · zhtx〕
𪆂	〔氵匚コ鳥 · knnx〕
𪆃	〔子攵鳥 · ghhx〕
𪆄	〔鳥隹灬 · xuch〕
𪆅	〔隹火鳥 · ucxn〕
𪆆	〔⺿兔鳥 · lwxn〕
𪆇	〔弓工工鳥 · buux〕
𪆈	〔犬火鳥 · vmcx〕
𪆉	〔十冖隹鳥 · nwux〕
𪆊	〔㇏臼鳥 · aipx〕
𪆋	〔糹士口鳥 · igdx〕
𪆌	〔囗八口鳥 · rhdx〕
𪆍	〔勹人人鳥 · njjx〕
𪆎	〔氵方𠂉鳥 · klex〕
𪆏	〔鳥立里 · xidl〕
𪆐	〔隹木鳥 · uexn〕
𪆑	〔士冖口鳥 · gwdx〕
𪆒	〔厂亻隹鳥 · xjux〕
𪆓	〔糹糸鳥 · iixn〕
𪆔	〔隹灬鳥火 · ucxc〕
𪆕	〔宀大工鳥 · wmux〕
𪆖	〔鳥士冖豆 · xgwz〕
𪆗	〔斤鳥 · zhtx〕
𪆘	〔十日十鳥 · nonx〕
𪆙	〔厂䒑鳥 · xhsx〕
